swedish_name;english_name;latin_name
Braxen;Common bream;Abramis brama
Brunsnultra;Scale-rayed wrasse;Acantholabrus palloni
Sibirisk stör;Siberian sturgeon;Acipenser baeri
Rysk stör;Russian sturgeon;Acipenser gueldenstaedtii
Atlantisk stör;Atlantic sturgeon;Acipenser oxyrinchus
Sterlett;Sterlet;Acipenser ruthenus
Stjärnstör;Stellate sturgeon;Acipenser stellatus
Europeisk stör;Sturgeon;Acipenser sturio
Skäggsimpa;Hooknose;Agonus cataphractus
Löja;Common bleak;Alburnus Alburnus
Tordmule;Alca torda;Alca torda
Alkekung;Alle alle;Alle alle
Alloteuthis subulata;European common squid;Alloteuthis subulata
Rävhaj;Thresher (Fox Shark);Alopias vulpinus
Majfisk;Allis Shad;Alosa alosa
Staksill;Twait shad;Alosa fallax
Klorocka;Thorny skate;Amblyraja radiata
Brun dvärgmal;Brown bullhead;Ameiurus nebulosus
Havstobis;Raitt's sand eel;Ammodytes marinus
Kusttobis;Lesser sandeel;Ammodytes tobianus
Blå havskatt;Northern wolffish;Anarhichas denticulatus
Havskatt;Atlantic wolffish;Anarhichas lupus
Fläckig havskatt;Spotted Catfish;Anarhichas minor
Kricka;Anas crecca;Anas crecca
Gräsand;Anas platyrhynchos;Anas platyrhynchos
Ål;European eel;Anguilla anguilla
Klarbult;Transparent goby;Aphia minuta
Mindre laxtobis;Spotted barracudina;Arctozenus risso
Guldlax;Greater argentine;Argentina silus
Silverfisk;Argentine;Argentina sphyraena
Pärlemorfisk;Hatchet fish;Argyropelecus Olfersii
Havsgös;Meagre;Argyrosomus regius
Tungevar;Mediterranean scaldfish;Arnoglossus laterna
Halvulk;Atlantic hookear sculpin;Artediellus atlanticus
Asp;Asp;Aspius aspius
Flodkräfta;European crayfish;Astacus astacus
Påfågelciklid;Oscar;Astronotus ocellatus
Prästfisk;Sand smelt;Atherina presbyter
Auxid;Bullet tuna;Auxis rochei
Auxis thazard;Frigate mackerel;Auxis thazard
Brunand;Aythya ferina;Aythya ferina
Vigg;Aythya fuligula;Aythya fuligula
Bergand;Aythya marila;Aythya marila
Racersmörbult;Racer goby;Babka gymnotrachelus
Grå tryckarfisk;Triggerfish;Balistes capriscus
Faren;Zope;Ballerus ballerus
Grönling;Stone loach;Barbatula barbatula
Flodbarb;Common barbel;Barbus barbus
Näbbgädda;Garfish;Belone belone
Nordisk beryx;Beryx;Beryx decadactylus
Skyggfisk;Shanny;Blennius pholis
Björkna;White bream;Blicca bjoerkna
Oxögonfisk;Bogue;Boops boops
Polartorsk;Arctic Cod;Boreogadus saida
Havsbraxen;Ray's Bream;Brama brama
Lubb;Cusk ;Brosme brosme
Valthornssnäcka;Whelk;Buccinum Undatum
Knipa;Bucephala clangula;Bucephala clangula
Småtunga;Solenette;Buglossidium luteum
Randig sjökock;Common dragonet;Callionymus lyra
Fläckig sjökock;Spotted dragonet;Callionymus maculatus
Nätmönstrad sjökock;Reticulated dragonet;Callionymus reticulatus
Krabbtaska;Edible crab;Cancer pagurus
Trynfisk;Boar-fish;Capros aper
Guldfisk;Goldfish;Carassius auratus
Ruda;Crucian carp;Carassius carassius
Silverruda;Prussian carp;Carassius gibelio
Strandkrabba;Green Crab;Carcinus Maenas
Sugkarp;Longnose sucker;Catostomus catostomus
Grässnultra;Rock cook;Centrolabrus exoletus
Svartfisk;Blackfish;Centrolophus niger
Sorghaj;Gulper shark;Centrophorus granulosus
Brun pigghaj;Leafscalegulper shark;Centrophorus squamosus
Pailonahaj;Portuguese dogfish;Centroscymnus coelolepis
Tobisgrissla;Cepphus grylle;Cepphus grylle
Hjärtmussla;Common cockle;Cerastoderma edule
Brugd;Basking shark;Cetorhinus maximus
Större flygfisk;Atlantic flying-fish;Cheilopogon heterurus
Rödknot;Red Gurnard;Chelidonichthys cuculus
Fenknot;Tub Gurnard;Chelidonichthys lucerna
